movie_id,platform
259316,STREAMING
259316,RENTAL
12444,RENTAL
12444,THEATER
12444,TV
12444,STREAMING
354912,THEATER
354912,TV
354912,RENTAL
100402,THEATER
100402,TV
557,TV
557,RENTAL
10681,TV
10681,STREAMING
210577,THEATER
210577,TV
210577,RENTAL
49051,TV
49051,RENTAL
585,STREAMING
585,RENTAL
862,THEATER
862,STREAMING
281957,THEATER
281957,TV
281957,STREAMING
209112,THEATER
209112,STREAMING
209112,RENTAL
8587,THEATER
8587,STREAMING
8587,RENTAL
98,THEATER
98,TV
98,RENTAL
37165,RENTAL
37165,STREAMING
9806,TV
9806,THEATER
9806,RENTAL
9806,STREAMING
329865,TV
329865,THEATER
329865,RENTAL
496243,TV
496243,STREAMING
76338,TV
76338,THEATER
76338,RENTAL
1930,TV
1930,RENTAL
1930,STREAMING
381288,TV
381288,RENTAL
381288,STREAMING
383498,THEATER
383498,TV
383498,STREAMING
694,THEATER
694,TV
694,RENTAL
24,THEATER
24,STREAMING
24,RENTAL
101299,RENTAL
101299,STREAMING
77338,TV
77338,THEATER
77338,RENTAL
419430,TV
419430,THEATER
419430,RENTAL
419430,STREAMING
205596,TV
205596,THEATER
205596,STREAMING
205596,RENTAL
424694,TV
424694,THEATER
424694,RENTAL
497,TV
497,THEATER
497,STREAMING
198663,TV
198663,RENTAL
198663,STREAMING
18785,THEATER
18785,STREAMING
1891,THEATER
1891,RENTAL
1891,STREAMING
808,RENTAL
808,TV
808,STREAMING
2062,TV
2062,RENTAL
207703,THEATER
207703,STREAMING
313369,RENTAL
313369,TV
313369,STREAMING
109445,TV
109445,RENTAL
374720,THEATER
374720,TV
269149,THEATER
269149,TV
240832,THEATER
240832,STREAMING
240832,RENTAL
329,THEATER
329,TV
329,STREAMING
274,TV
274,RENTAL
274,STREAMING
129,TV
129,STREAMING
321612,TV
321612,RENTAL
321612,STREAMING
58,THEATER
58,TV
58,STREAMING
177572,TV
177572,RENTAL
75656,THEATER
75656,TV
75656,RENTAL
131631,TV
131631,THEATER
131631,RENTAL
335983,STREAMING
335983,THEATER
335983,TV
335983,RENTAL
1124,TV
1124,STREAMING
1124,RENTAL
6479,RENTAL
6479,STREAMING
857,TV
857,RENTAL
857,STREAMING
299537,STREAMING
299537,THEATER
299537,TV
299537,RENTAL
339403,TV
339403,STREAMING
424,THEATER
424,STREAMING
1892,THEATER
1892,TV
1892,STREAMING
429617,THEATER
429617,TV
429617,STREAMING
37724,THEATER
37724,TV
49047,THEATER
49047,STREAMING
49047,RENTAL
127585,THEATER
127585,TV
127585,STREAMING
333339,THEATER
333339,STREAMING
72190,THEATER
72190,RENTAL
640,STREAMING
640,TV
640,RENTAL
330459,TV
330459,RENTAL
330459,STREAMING
181808,THEATER
181808,STREAMING
49521,RENTAL
49521,STREAMING
20352,THEATER
20352,TV
20352,STREAMING
558,THEATER
558,TV
558,RENTAL
324857,THEATER
324857,STREAMING
324857,RENTAL
118,TV
118,RENTAL
244786,THEATER
244786,TV
1422,TV
1422,THEATER
1422,STREAMING
120467,THEATER
120467,TV
120467,RENTAL
10193,THEATER
10193,TV
77,THEATER
77,STREAMING
77,RENTAL
38,THEATER
38,STREAMING
101,STREAMING
101,THEATER
101,TV
101,RENTAL
44214,TV
44214,THEATER
44214,RENTAL
752,THEATER
752,TV
1893,TV
1893,RENTAL
152601,TV
152601,THEATER
152601,RENTAL
152601,STREAMING
285,THEATER
285,TV
285,STREAMING
122917,THEATER
122917,TV
122917,RENTAL
500,TV
500,STREAMING
273248,TV
273248,THEATER
273248,STREAMING
348,THEATER
348,TV
10528,TV
10528,STREAMING
12155,THEATER
12155,STREAMING
12155,RENTAL
1865,THEATER
1865,TV
559,TV
559,STREAMING
559,RENTAL
447332,THEATER
447332,TV
447332,RENTAL
297802,TV
297802,STREAMING
393,TV
393,THEATER
393,RENTAL
920,TV
920,STREAMING
920,RENTAL
863,TV
863,THEATER
863,STREAMING
607,TV
607,THEATER
607,STREAMING
137113,RENTAL
137113,STREAMING
1271,THEATER
1271,TV
353486,TV
353486,THEATER
353486,STREAMING
78,THEATER
78,STREAMING
78,RENTAL
1895,THEATER
1895,TV
1895,RENTAL
324786,THEATER
324786,RENTAL
324786,STREAMING
8966,RENTAL
62177,RENTAL
62177,TV
62177,STREAMING
363088,THEATER
363088,TV
363088,RENTAL
102651,TV
102651,RENTAL
102651,STREAMING
274870,TV
274870,STREAMING
87827,TV
87827,THEATER
87827,STREAMING
264660,TV
264660,THEATER
264660,RENTAL
102382,RENTAL
102382,STREAMING
335984,THEATER
335984,RENTAL
335984,STREAMING
425,TV
425,THEATER
425,RENTAL
1894,THEATER
1894,TV
1894,STREAMING
141052,TV
141052,THEATER
141052,STREAMING
57158,TV
57158,STREAMING
466272,THEATER
466272,STREAMING
466272,RENTAL
637,THEATER
637,RENTAL
637,STREAMING
246655,THEATER
246655,TV
246655,STREAMING
194662,TV
194662,THEATER
194662,RENTAL
194662,STREAMING
157350,THEATER
157350,TV
157350,RENTAL
190859,TV
190859,THEATER
190859,RENTAL
10191,TV
10191,STREAMING
260513,TV
260513,THEATER
260513,RENTAL
260513,STREAMING
162,TV
162,THEATER
162,RENTAL
324552,THEATER
324552,STREAMING
324552,RENTAL
49538,TV
49538,THEATER
49538,STREAMING
185,THEATER
185,TV
185,STREAMING
4922,TV
4922,RENTAL
4922,STREAMING
218,RENTAL
218,THEATER
218,TV
218,STREAMING
165,TV
165,RENTAL
165,STREAMING
280,THEATER
280,RENTAL
769,TV
769,STREAMING
64690,THEATER
64690,RENTAL
68726,THEATER
68726,RENTAL
131634,TV
131634,STREAMING
131634,RENTAL
82690,STREAMING
82690,THEATER
82690,TV
82690,RENTAL
141,THEATER
141,TV
72105,TV
72105,THEATER
72105,RENTAL
64682,THEATER
64682,TV
64682,RENTAL
277834,TV
399055,STREAMING
399055,TV
399055,RENTAL
85,THEATER
85,STREAMING
85,RENTAL
19908,THEATER
19908,RENTAL
127380,TV
127380,THEATER
127380,STREAMING
296096,STREAMING
296096,TV
296096,RENTAL
530915,THEATER
530915,RENTAL
398818,TV
398818,STREAMING
82693,TV
82693,THEATER
82693,RENTAL
809,THEATER
809,TV
14161,THEATER
14161,RENTAL
14161,STREAMING
240,THEATER
240,TV
240,STREAMING
14,THEATER
14,RENTAL
14,STREAMING
70981,TV
70981,THEATER
70981,RENTAL
37799,TV
37799,THEATER
37799,RENTAL
37799,STREAMING
166426,THEATER
166426,RENTAL
546554,TV
546554,THEATER
546554,STREAMING
489,TV
489,THEATER
489,RENTAL
489,STREAMING
216015,TV
216015,THEATER
216015,RENTAL
350,STREAMING
350,TV
350,RENTAL
103,TV
103,THEATER
103,STREAMING
332562,THEATER
332562,TV
332562,RENTAL
228150,STREAMING
228150,RENTAL
1724,THEATER
1724,RENTAL
23483,TV
23483,THEATER
23483,STREAMING
2048,THEATER
2048,TV
2048,RENTAL
6977,TV
6977,THEATER
6977,STREAMING
61791,TV
61791,THEATER
61791,STREAMING
61791,RENTAL
161,TV
161,THEATER
161,STREAMING
161,RENTAL
745,THEATER
745,STREAMING
745,RENTAL
194,TV
194,RENTAL
194,STREAMING
111,TV
111,RENTAL
146233,TV
146233,THEATER
146233,RENTAL
146233,STREAMING
73,STREAMING
73,RENTAL
138843,THEATER
138843,STREAMING
222935,THEATER
222935,RENTAL
11036,THEATER
11036,STREAMING
11036,RENTAL
76203,THEATER
76203,TV
62,TV
62,THEATER
62,RENTAL
49530,TV
49530,STREAMING
49530,RENTAL
812,TV
812,THEATER
812,RENTAL
812,STREAMING
490132,THEATER
490132,RENTAL
490132,STREAMING
38757,THEATER
38757,RENTAL
8358,THEATER
8358,TV
8358,STREAMING
36657,TV
36657,STREAMING
93456,THEATER
93456,STREAMING
9502,THEATER
1858,THEATER
1858,TV
1858,STREAMING
601,THEATER
601,STREAMING
601,RENTAL
8681,TV
8681,RENTAL
8681,STREAMING
351286,THEATER
351286,TV
115,TV
115,RENTAL
119450,TV
119450,RENTAL
119450,STREAMING
207,THEATER
207,RENTAL
207,STREAMING
372058,THEATER
372058,STREAMING
372058,RENTAL
338952,THEATER
338952,RENTAL
338952,STREAMING
562,TV
562,STREAMING
291805,STREAMING
291805,RENTAL
771,THEATER
771,TV
604,STREAMING
604,RENTAL
953,TV
953,THEATER
953,STREAMING
266856,TV
266856,RENTAL
266856,STREAMING
242582,THEATER
242582,TV
82992,TV
82992,RENTAL
82992,STREAMING
75612,THEATER
75612,STREAMING
310,THEATER
310,RENTAL
13223,THEATER
13223,STREAMING
168259,TV
168259,THEATER
168259,STREAMING
211672,STREAMING
211672,RENTAL
36557,THEATER
36557,TV
36557,RENTAL
18,TV
18,RENTAL
18,STREAMING
12405,STREAMING
12405,RENTAL
62211,THEATER
62211,STREAMING
62211,RENTAL
51876,THEATER
51876,TV
51876,STREAMING
206647,TV
206647,THEATER
206647,RENTAL
84892,TV
84892,STREAMING
1417,THEATER
1417,STREAMING
1417,RENTAL
8844,THEATER
8844,RENTAL
8844,STREAMING
76600,THEATER
76600,TV
76600,RENTAL
411,THEATER
411,TV
1359,THEATER
1359,TV
1359,STREAMING
2080,THEATER
2080,TV
45243,THEATER
45243,RENTAL
58574,TV
58574,THEATER
58574,STREAMING
337339,TV
337339,STREAMING
458156,STREAMING
458156,TV
458156,RENTAL
293167,TV
293167,STREAMING
293167,RENTAL
196,THEATER
196,TV
196,STREAMING
41154,TV
41154,THEATER
41154,RENTAL
294254,THEATER
294254,STREAMING
294254,RENTAL
600,THEATER
600,RENTAL
495764,TV
495764,STREAMING
495764,RENTAL
510,TV
510,STREAMING
510,RENTAL
64688,TV
64688,RENTAL
64688,STREAMING
59967,THEATER
59967,RENTAL
629,TV
629,RENTAL
629,STREAMING
